filename,label
Spoiled (939).jpg,1
Spoiled (4673).jpg,1
Fresh (912).jpg,0
Fresh (1748).jpg,0
Spoiled (1897).jpg,1
Spoiled (4544).jpg,1
Fresh (5329).jpg,0
Fresh (3309).jpg,0
Spoiled (5133).jpg,1
Fresh (2970).jpg,0
Spoiled (213).jpg,1
Fresh (2867).jpg,0
Fresh (3261).jpg,0
Fresh (4281).jpg,0
Fresh (49).jpg,0
Fresh (1324).jpg,0
Fresh (210).jpg,0
Spoiled (4512).jpg,1
Fresh (862).jpg,0
Spoiled (4271).jpg,1
Fresh (4059).jpg,0
Fresh (2968).jpg,0
Fresh (4664).jpg,0
Spoiled (5195).jpg,1
Spoiled (5191).jpg,1
Fresh (1222).jpg,0
Fresh (200).jpg,0
Spoiled (2742).jpg,1
Spoiled (1569).jpg,1
Fresh (4552).jpg,0
Fresh (2735).jpg,0
Fresh (2040).jpg,0
Fresh (3329).jpg,0
Spoiled (3114).jpg,1
Spoiled (512).jpg,1
Fresh (2335).jpg,0
Fresh (5270).jpg,0
Fresh (5625).jpg,0
Spoiled (1791).jpg,1
Spoiled (1702).jpg,1
Fresh (502).jpg,0
Fresh (4427).jpg,0
Fresh (3503).jpg,0
Spoiled (4116).jpg,1
Spoiled (5155).jpg,1
Spoiled (80).jpg,1
Spoiled (2726).jpg,1
Fresh (3385).jpg,0
Fresh (2081).jpg,0
Fresh (5319).jpg,0
Fresh (4160).jpg,0
Fresh (4120).jpg,0
Spoiled (2988).jpg,1
Spoiled (2515).jpg,1
Fresh (3960).jpg,0
Fresh (3151).jpg,0
Spoiled (3314).jpg,1
Spoiled (2725).jpg,1
Spoiled (675).jpg,1
Fresh (3940).jpg,0
Spoiled (1760).jpg,1
Spoiled (1360).jpg,1
Spoiled (4538).jpg,1
Fresh (73).jpg,0
Spoiled (1964).jpg,1
Spoiled (2828).jpg,1
Spoiled (3889).jpg,1
Fresh (273).jpg,0
Spoiled (3505).jpg,1
Spoiled (3917).jpg,1
Fresh (2520).jpg,0
Spoiled (1225).jpg,1
Fresh (886).jpg,0
Fresh (4746).jpg,0
Spoiled (1026).jpg,1
Fresh (4828).jpg,0
Spoiled (1300).jpg,1
Spoiled (3581).jpg,1
Fresh (682).jpg,0
Fresh (3732).jpg,0
Spoiled (2915).jpg,1
Spoiled (2328).jpg,1
Fresh (3013).jpg,0
Spoiled (1196).jpg,1
Fresh (2699).jpg,0
Fresh (4879).jpg,0
Spoiled (3206).jpg,1
Spoiled (189).jpg,1
Spoiled (196).jpg,1
Spoiled (1999).jpg,1
Fresh (477).jpg,0
Spoiled (4800).jpg,1
Fresh (4415).jpg,0
Spoiled (2103).jpg,1
Spoiled (2799).jpg,1
Fresh (1869).jpg,0
Fresh (3226).jpg,0
Fresh (3147).jpg,0
Fresh (5507).jpg,0
Spoiled (4261).jpg,1
Spoiled (4403).jpg,1
Fresh (696).jpg,0
Fresh (283).jpg,0
Spoiled (3790).jpg,1
Fresh (1362).jpg,0
Fresh (2066).jpg,0
Fresh (1933).jpg,0
Spoiled (5038).jpg,1
Spoiled (1520).jpg,1
Spoiled (2423).jpg,1
Fresh (249).jpg,0
Fresh (5590).jpg,0
Fresh (3958).jpg,0
Spoiled (4091).jpg,1
Spoiled (760).jpg,1
Fresh (1486).jpg,0
Fresh (2401).jpg,0
Fresh (4949).jpg,0
Spoiled (1100).jpg,1
Fresh (3345).jpg,0
Fresh (846).jpg,0
Fresh (5368).jpg,0
Fresh (1526).jpg,0
Spoiled (2222).jpg,1
Fresh (279).jpg,0
Spoiled (4840).jpg,1
Fresh (4532).jpg,0
Spoiled (2745).jpg,1
Fresh (2012).jpg,0
Spoiled (3835).jpg,1
Fresh (1472).jpg,0
Spoiled (3347).jpg,1
Fresh (987).jpg,0
Fresh (1151).jpg,0
Spoiled (5047).jpg,1
Fresh (2974).jpg,0
Spoiled (3592).jpg,1
Spoiled (2664).jpg,1
Spoiled (5160).jpg,1
Fresh (1845).jpg,0
Spoiled (3213).jpg,1
Fresh (5218).jpg,0
Spoiled (2176).jpg,1
Spoiled (824).jpg,1
Spoiled (3502).jpg,1
Spoiled (1229).jpg,1
Fresh (889).jpg,0
Spoiled (1747).jpg,1
Spoiled (3346).jpg,1
Fresh (4187).jpg,0
Fresh (5024).jpg,0
Fresh (2932).jpg,0
Fresh (4042).jpg,0
Fresh (778).jpg,0
Spoiled (575).jpg,1
Fresh (4093).jpg,0
Spoiled (453).jpg,1
Spoiled (3348).jpg,1
Fresh (5444).jpg,0
Spoiled (1233).jpg,1
Fresh (508).jpg,0
Fresh (2976).jpg,0
Spoiled (3849).jpg,1
Fresh (3500).jpg,0
Fresh (373).jpg,0
Fresh (5486).jpg,0
Spoiled (5138).jpg,1
Fresh (2669).jpg,0
Spoiled (4572).jpg,1
Spoiled (2739).jpg,1
Spoiled (3749).jpg,1
Spoiled (2654).jpg,1
Fresh (2045).jpg,0
Spoiled (4151).jpg,1
Fresh (5326).jpg,0
Spoiled (4014).jpg,1
Spoiled (563).jpg,1
Spoiled (1524).jpg,1
Spoiled (2214).jpg,1
Spoiled (5024).jpg,1
Fresh (4018).jpg,0
Fresh (3936).jpg,0
Fresh (1824).jpg,0
Fresh (2032).jpg,0
Fresh (3569).jpg,0
Fresh (3695).jpg,0
Spoiled (3809).jpg,1
Fresh (12).jpg,0
Fresh (1318).jpg,0
Spoiled (2907).jpg,1
Fresh (4711).jpg,0
Spoiled (1216).jpg,1
Fresh (350).jpg,0
Spoiled (1781).jpg,1
Fresh (2910).jpg,0
Fresh (2398).jpg,0
Fresh (125).jpg,0
Spoiled (4243).jpg,1
Fresh (3758).jpg,0
Fresh (3814).jpg,0
Spoiled (3024).jpg,1
Spoiled (1015).jpg,1
Fresh (1005).jpg,0
Fresh (289).jpg,0
Spoiled (2829).jpg,1
Fresh (4441).jpg,0
Spoiled (2953).jpg,1
Spoiled (4452).jpg,1
Spoiled (9).jpg,1
Spoiled (447).jpg,1
Fresh (1429).jpg,0
Fresh (3811).jpg,0
Fresh (3723).jpg,0
Fresh (3429).jpg,0
Fresh (3759).jpg,0
Fresh (2346).jpg,0
Fresh (2193).jpg,0
Spoiled (1279).jpg,1
Spoiled (1234).jpg,1
Spoiled (2592).jpg,1
Spoiled (2995).jpg,1
Fresh (592).jpg,0
Fresh (2529).jpg,0
Fresh (1035).jpg,0
Spoiled (2803).jpg,1
Spoiled (630).jpg,1
Spoiled (1137).jpg,1
Fresh (470).jpg,0
Fresh (5587).jpg,0
Spoiled (1679).jpg,1
Spoiled (2525).jpg,1
Spoiled (1288).jpg,1
Spoiled (1970).jpg,1
Spoiled (4358).jpg,1
Spoiled (5011).jpg,1
Spoiled (293).jpg,1
Spoiled (5248).jpg,1
Fresh (3025).jpg,0
Fresh (2466).jpg,0
Spoiled (60).jpg,1
Spoiled (522).jpg,1
Fresh (2537).jpg,0
Spoiled (3825).jpg,1
Spoiled (1334).jpg,1
Fresh (2538).jpg,0
